"term","coefficient","is_interaction"
"(Intercept)",62927.7691975216,FALSE
"p401",-4695.10926300827,FALSE
"age",-7008.32965401025,FALSE
"inc",-34112.2323507804,FALSE
"fsize",-148.673291835706,FALSE
"educ",-397.762555469228,FALSE
"db",0,FALSE
"marr",801.864197630226,FALSE
"male",-1460.66096356721,FALSE
"twoearn",14890.3038895556,FALSE
"pira",-17300.4481078269,FALSE
"hown",-30424.9833401207,FALSE
"p401_x_age",4794.51096587225,TRUE
"p401_x_inc",-5565.36942542519,TRUE
"p401_x_fsize",-2040.34742468426,TRUE
"p401_x_educ",5910.20020742809,TRUE
"p401_x_db",667.705690234747,TRUE
"p401_x_marr",3158.39365232663,TRUE
"p401_x_male",2926.74243184233,TRUE
"p401_x_twoearn",-1009.37391865302,TRUE
"p401_x_pira",895.968742973716,TRUE
"p401_x_hown",1550.26321338752,TRUE
"age_x_inc",54842.1957413851,TRUE
"age_x_fsize",-1206.58919765805,TRUE
"age_x_educ",979.852437529099,TRUE
"age_x_db",-3123.81580505399,TRUE
"age_x_marr",-3357.27854753752,TRUE
"age_x_male",-2653.91209101578,TRUE
"age_x_twoearn",-18432.8984792409,TRUE
"age_x_pira",25979.1706088724,TRUE
"age_x_hown",38223.8715187532,TRUE
"inc_x_fsize",-480.746014054402,TRUE
"inc_x_educ",0,TRUE
"inc_x_db",-3083.15765481895,TRUE
"inc_x_marr",22187.5694459148,TRUE
"inc_x_male",-5976.69863895285,TRUE
"inc_x_twoearn",-38163.5789904553,TRUE
"inc_x_pira",31941.9094851917,TRUE
"inc_x_hown",26582.2206204639,TRUE
"fsize_x_educ",-188.097671575781,TRUE
"fsize_x_db",1237.01315222946,TRUE
"fsize_x_marr",869.300080588841,TRUE
"fsize_x_male",704.509329844038,TRUE
"fsize_x_twoearn",2322.98122687719,TRUE
"fsize_x_pira",-2248.06109649585,TRUE
"fsize_x_hown",1958.32382304139,TRUE
"educ_x_db",2580.70308150019,TRUE
"educ_x_marr",-8956.43304165125,TRUE
"educ_x_male",5705.51612602494,TRUE
"educ_x_twoearn",15132.5117146585,TRUE
"educ_x_pira",-9099.81884894979,TRUE
"educ_x_hown",5198.45774243301,TRUE
"db_x_marr",909.628572141953,TRUE
"db_x_male",1228.19128810521,TRUE
"db_x_twoearn",1080.50552570862,TRUE
"db_x_pira",-1427.44851734471,TRUE
"db_x_hown",-4087.2089245428,TRUE
"marr_x_male",1793.65187592523,TRUE
"marr_x_twoearn",1798.28261282066,TRUE
"marr_x_pira",-1482.32360629101,TRUE
"marr_x_hown",-1457.30804714109,TRUE
"male_x_twoearn",-1030.81233241755,TRUE
"male_x_pira",705.119799375736,TRUE
"male_x_hown",2652.48708438199,TRUE
"twoearn_x_pira",-4192.04394689218,TRUE
"twoearn_x_hown",-1278.82019801934,TRUE
"pira_x_hown",6498.66310167704,TRUE
